name,pred_dir,final_score,cd_score,p2s_score,mean_cd_pred,mean_cd_noisy,mean_p2s_pred,mean_p2s_noisy,mean_disp
k16_n1000_t000,results_official_low_normal_component_k16_n1000_t000,48.56,40.85,56.27,0.00015361,0.00026112,7.66e-05,0.00017076,0.0030488555785268545
k16_n1000_t100,results_official_low_normal_component_k16_n1000_t100,51.5,43.3,59.7,0.00014662,0.00026112,7.009e-05,0.00017076,0.0030795137863606215
k16_n1000_t200,results_official_low_normal_component_k16_n1000_t200,54.15,45.51,62.79,0.00014035,0.00026112,6.425e-05,0.00017076,0.0031481252517551184
k16_n1250_t000,results_official_low_normal_component_k16_n1250_t000,50.73,42.61,58.85,0.00014884,0.00026112,7.192e-05,0.00017076,0.003811069531366229
k16_n1250_t100,results_official_low_normal_component_k16_n1250_t100,53.31,44.75,61.87,0.00014272,0.00026112,6.614e-05,0.00017076,0.0038371148984879255
k16_n1250_t200,results_official_low_normal_component_k16_n1250_t200,55.59,46.64,64.55,0.00013733,0.00026112,6.102e-05,0.00017076,0.0038964624982327223
k16_n1500_t000,results_official_low_normal_component_k16_n1500_t000,49.54,41.39,57.69,0.00015173,0.00026112,7.335e-05,0.00017076,0.00457328325137496
k16_n1500_t100,results_official_low_normal_component_k16_n1500_t100,51.79,43.24,60.34,0.00014641,0.00026112,6.825e-05,0.00017076,0.004596024751663208
k16_n1500_t200,results_official_low_normal_component_k16_n1500_t200,53.75,44.84,62.65,0.0001418,0.00026112,6.38e-05,0.00017076,0.004648539703339338
k16_n750_t000,results_official_low_normal_component_k16_n750_t000,42.49,35.58,49.4,0.0001674,0.00026112,8.831e-05,0.00017076,0.00228664162568748
k16_n750_t100,results_official_low_normal_component_k16_n750_t100,45.81,38.36,53.27,0.00015952,0.00026112,8.102e-05,0.00017076,0.002324269851669669
k16_n750_t200,results_official_low_normal_component_k16_n750_t200,48.84,40.9,56.78,0.00015235,0.00026112,7.441e-05,0.00017076,0.0024062993470579386
k32_n750_t000,results_official_low_normal_component_k32_n750_t000,52.72,44.4,61.03,0.00014293,0.00026112,6.68e-05,0.00017076,0.0026828174013644457
k32_n750_t100,results_official_low_normal_component_k32_n750_t100,54.04,45.5,62.59,0.00013975,0.00026112,6.381e-05,0.00017076,0.002702429424971342
base,results_official_low_ft19_alpha_a1000,64.76,53.97,75.55,0.00011644,0.00026112,4.022e-05,0.00017076,0.004279343876987696
